feature	u	v	sig_level	power	estimated_sample_size
Cytoplasm_Correlation_Correlation_DAPI_GFP	1	1679	4.17362270450751e-05	0.8	6633.09128900579
Cytoplasm_Correlation_Correlation_DAPI_RFP	1	1679	4.17362270450751e-05	0.8	790.788813721604
Cytoplasm_Correlation_Correlation_GFP_RFP	1	1679	4.17362270450751e-05	0.8	5423.9976669146
Cytoplasm_Correlation_Costes_DAPI_GFP	1	1679	4.17362270450751e-05	0.8	776.940490852226
Cytoplasm_Correlation_Costes_DAPI_RFP	1	1679	4.17362270450751e-05	0.8	248.16919371602
Cytoplasm_Correlation_Costes_GFP_DAPI	1	1679	4.17362270450751e-05	0.8	470.344090853081
Cytoplasm_Correlation_Costes_GFP_RFP	1	1679	4.17362270450751e-05	0.8	694.463747987283
Cytoplasm_Correlation_Costes_RFP_DAPI	1	1679	4.17362270450751e-05	0.8	203.427955497737
Cytoplasm_Correlation_Costes_RFP_GFP	1	1679	4.17362270450751e-05	Cytoplasm_Correlation_Costes_RFP_GFP	1
Cytoplasm_Correlation_K_DAPI_GFP	1	1679	4.17362270450751e-05	0.8	4248.69016658867
Cytoplasm_Correlation_K_DAPI_RFP	1	1679	4.17362270450751e-05	0.8	11558.3437803428
Cytoplasm_Correlation_K_GFP_DAPI	1	1679	4.17362270450751e-05	0.8	1044.86760660365
Cytoplasm_Correlation_K_GFP_RFP	1	1679	4.17362270450751e-05	0.8	572.009415673453
Cytoplasm_Correlation_K_RFP_DAPI	1	1679	4.17362270450751e-05	0.8	2329.41229820738
Cytoplasm_Correlation_K_RFP_GFP	1	1679	4.17362270450751e-05	0.8	927.70083173037
Cytoplasm_Correlation_Manders_DAPI_GFP	1	1679	4.17362270450751e-05	0.8	440.067758723349
Cytoplasm_Correlation_Manders_DAPI_RFP	1	1679	4.17362270450751e-05	0.8	6100.11091004627
Cytoplasm_Correlation_Manders_GFP_DAPI	1	1679	4.17362270450751e-05	0.8	2307.18622440834
Cytoplasm_Correlation_Manders_GFP_RFP	1	1679	4.17362270450751e-05	0.8	8419.85447861792
